"cpu_id", "freq", "log_id"
"cpu0", 0.480000, 144
"cpu1", 0.480000, 144
"cpu2", 0.480000, 144
"cpu3", 0.480000, 144
"cpu0", 0.480000, 145
"cpu1", 0.480000, 145
"cpu2", 0.479873, 145
"cpu3", 0.501871, 145
"cpu0", 0.480000, 146
"cpu1", 0.480000, 146
"cpu2", 0.479873, 146
"cpu3", 0.501871, 146
"cpu0", 0.480000, 147
"cpu1", 0.480000, 147
"cpu2", 0.480002, 147
"cpu3", 0.479995, 147
"cpu0", 0.480000, 148
"cpu1", 0.480000, 148
"cpu2", 0.480002, 148
"cpu3", 0.479995, 148
"cpu0", 0.480000, 149
"cpu1", 0.480020, 149
"cpu2", 0.480001, 149
"cpu3", 0.480000, 149
"cpu0", 0.480000, 150
"cpu1", 0.480020, 150
"cpu2", 0.480001, 150
"cpu3", 0.480000, 150
"cpu0", 0.480003, 151
"cpu1", 0.479990, 151
"cpu2", 0.520066, 151
"cpu3", 0.517440, 151
"cpu0", 0.480003, 152
"cpu1", 0.479990, 152
"cpu2", 0.520066, 152
"cpu3", 0.517440, 152
"cpu0", 0.486517, 153
"cpu1", 0.489738, 153
"cpu2", 0.490694, 153
"cpu3", 0.533325, 153
"cpu0", 0.486517, 154
"cpu1", 0.489738, 154
"cpu2", 0.490694, 154
"cpu3", 0.533325, 154
"cpu0", 0.550705, 155
"cpu1", 0.508608, 155
"cpu2", 0.480000, 155
"cpu3", 0.480000, 155
"cpu0", 0.550705, 156
"cpu1", 0.508608, 156
"cpu2", 0.480000, 156
"cpu3", 0.480000, 156
"cpu0", 0.482375, 157
"cpu1", 0.508789, 157
"cpu2", 0.479996, 157
"cpu3", 0.479987, 157
"cpu0", 0.482375, 158
"cpu1", 0.508789, 158
"cpu2", 0.479996, 158
"cpu3", 0.479987, 158
"cpu0", 0.480000, 159
"cpu1", 0.480000, 159
"cpu2", 0.514604, 159
"cpu3", 0.480000, 159
"cpu0", 0.480000, 160
"cpu1", 0.480000, 160
"cpu2", 0.514604, 160
"cpu3", 0.480000, 160
"cpu0", 0.480000, 161
"cpu1", 0.480000, 161
"cpu2", 0.480000, 161
"cpu3", 0.480123, 161
"cpu0", 0.480000, 162
"cpu1", 0.480000, 162
"cpu2", 0.480000, 162
"cpu3", 0.480123, 162
"cpu0", 0.480000, 163
"cpu1", 0.480000, 163
"cpu2", 0.480000, 163
"cpu3", 0.480000, 163
"cpu0", 0.480000, 164
"cpu1", 0.480000, 164
"cpu2", 0.479996, 164
"cpu3", 0.480000, 164
"cpu0", 0.480000, 165
"cpu1", 0.480000, 165
"cpu2", 0.480003, 165
"cpu3", 0.480000, 165
"cpu0", 0.480000, 166
"cpu1", 0.480000, 166
"cpu2", 0.480000, 166
"cpu3", 0.480000, 166
"cpu0", 0.480000, 167
"cpu1", 0.480000, 167
"cpu2", 0.480000, 167
"cpu3", 0.480000, 167
"cpu0", 0.480000, 168
"cpu1", 0.480000, 168
"cpu2", 0.500897, 168
"cpu3", 0.486693, 168
"cpu0", 0.480000, 169
"cpu1", 0.480000, 169
"cpu2", 0.500897, 169
"cpu3", 0.486693, 169
"cpu0", 0.480000, 170
"cpu1", 0.480000, 170
"cpu2", 0.488234, 170
"cpu3", 0.534864, 170
"cpu0", 0.480000, 171
"cpu1", 0.480000, 171
"cpu2", 0.480006, 171
"cpu3", 0.479869, 171
"cpu0", 0.480000, 172
"cpu1", 0.480000, 172
"cpu2", 0.480006, 172
"cpu3", 0.479869, 172
"cpu0", 0.480000, 173
"cpu1", 0.480000, 173
"cpu2", 0.479998, 173
"cpu3", 0.480023, 173
"cpu0", 0.480000, 174
"cpu1", 0.480000, 174
"cpu2", 0.480000, 174
"cpu3", 0.479876, 174
"cpu0", 0.480000, 175
"cpu1", 0.480000, 175
"cpu2", 0.480000, 175
"cpu3", 0.479876, 175
"cpu0", 0.480000, 176
"cpu1", 0.480000, 176
"cpu2", 0.499494, 176
"cpu3", 0.502517, 176
"cpu0", 0.480000, 177
"cpu1", 0.480000, 177
"cpu2", 0.499494, 177
"cpu3", 0.502517, 177
"cpu0", 0.480000, 178
"cpu1", 0.480000, 178
"cpu2", 0.488075, 178
"cpu3", 0.533326, 178
"cpu0", 0.480000, 179
"cpu1", 0.480000, 179
"cpu2", 0.479996, 179
"cpu3", 0.480116, 179
"cpu0", 0.480000, 180
"cpu1", 0.480000, 180
"cpu2", 0.480003, 180
"cpu3", 0.480000, 180
"cpu0", 0.480000, 181
"cpu1", 0.480000, 181
"cpu2", 0.480003, 181
"cpu3", 0.480000, 181
"cpu0", 0.480000, 182
"cpu1", 0.480000, 182
"cpu2", 0.480001, 182
"cpu3", 0.480000, 182
"cpu0", 0.480000, 183
"cpu1", 0.480000, 183
"cpu2", 0.480001, 183
"cpu3", 0.480000, 183
"cpu0", 0.480000, 184
"cpu1", 0.480000, 184
"cpu2", 0.500700, 184
"cpu3", 0.479878, 184
"cpu0", 0.480000, 185
"cpu1", 0.480000, 185
"cpu2", 0.480003, 185
